Date_YMD,Status,Total,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Goa,Gujrat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerela,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
25-04-2020,Recovered,442,26,0,0,1,2,12,0,17,5,4,3,0,6,7,0,71,119,0,0,0,0,1,2,20,0,94,16,0,35,1,0
25-04-2020,Deceased,44,2,0,0,0,0,1,0,6,0,0,1,0,0,0,0,7,22,0,0,0,0,0,0,2,0,1,0,0,2,0,0
26-04-2020,Confirmed,1607,81,0,0,26,0,293,0,230,9,0,29,15,3,11,0,145,440,0,0,0,0,3,14,102,0,64,11,0,80,3,40
26-04-2020,Recovered,585,60,0,8,11,0,8,0,31,8,0,25,5,24,4,0,21,112,0,0,0,0,1,12,116,0,60,9,0,66,0,2
26-04-2020,Deceased,56,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,4,19,0,0,0,0,0,1,7,0,1,0,0,3,0,2
27-04-2020,Confirmed,1568,80,0,0,69,0,190,0,247,5,0,23,21,9,13,0,75,522,0,0,0,0,15,8,77,0,52,2,0,113,0,38
27-04-2020,Recovered,580,4,0,0,0,0,0,0,81,14,3,27,4,11,13,0,55,94,0,0,0,0,2,14,115,0,54,16,0,72,0,0
27-04-2020,Deceased,58,0,0,0,0,0,0,0,11,0,0,1,0,1,0,0,7,27,0,0,0,0,0,1,9,0,0,0,0,1,0,0
28-04-2020,Confirmed,1902,82,0,2,20,1,206,0,226,7,0,19,2,11,4,2,222,728,0,0,0,0,0,12,102,0,121,6,0,67,3,48
28-04-2020,Recovered,636,23,0,0,8,2,201,0,40,11,0,12,2,14,4,0,16,106,0,0,0,0,1,3,26,0,54,42,0,63,0,4
28-04-2020,Deceased,69,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,10,31,0,0,0,0,0,0,2,0,1,0,0,3,0,2
29-04-2020,Confirmed,1705,73,0,0,37,0,125,0,308,3,0,16,2,12,10,0,173,597,0,0,0,0,7,33,76,0,104,7,0,81,1,28
29-04-2020,Recovered,690,29,0,2,0,0,14,0,93,1,0,16,0,9,10,1,88,205,0,0,0,0,1,0,44,0,82,35,0,48,2,10
29-04-2020,Deceased,71,0,0,0,0,0,2,0,16,0,0,0,0,1,0,0,10,32,0,0,0,0,0,0,3,0,2,0,0,5,0,0
30-04-2020,Confirmed,1802,71,0,5,22,2,76,0,313,28,0,33,3,30,2,0,65,583,0,0,0,0,18,105,144,0,161,22,1,77,2,33
30-04-2020,Recovered,630,34,0,0,20,2,2,0,86,10,3,24,0,13,14,0,21,180,0,0,0,0,2,3,79,0,48,33,0,41,8,5
30-04-2020,Deceased,75,0,0,0,0,0,3,0,17,1,0,0,0,1,0,0,7,27,0,0,0,0,0,1,3,0,0,3,0,1,0,11
01-05-2020,Confirmed,2396,60,0,0,41,3,223,0,326,18,0,25,3,24,0,0,90,1008,0,0,0,0,11,105,82,0,203,6,0,117,0,37
01-05-2020,Recovered,962,82,0,4,14,0,73,0,123,6,2,31,2,22,9,0,42,106,0,10,0,0,14,4,223,0,54,22,0,103,1,15
01-05-2020,Deceased,77,2,0,0,1,0,2,0,22,0,0,0,0,0,0,0,8,26,0,0,0,0,0,0,4,0,1,0,0,2,1,8
02-05-2020,Confirmed,2564,62,0,0,15,0,384,0,333,19,0,27,2,12,2,1,73,790,0,0,0,0,6,187,106,0,231,17,2,159,2,127
02-05-2020,Recovered,831,38,0,0,19,0,89,0,160,1,3,7,1,20,8,0,100,121,0,0,0,0,1,4,126,0,29,35,0,44,2,12
02-05-2020,Deceased,92,0,0,0,1,0,3,0,26,1,0,0,0,3,0,0,6,36,0,0,0,0,0,0,6,0,1,1,0,1,0,7
03-05-2020,Confirmed,2952,58,0,0,36,14,427,0,374,66,0,35,0,13,0,19,49,678,0,0,0,0,2,330,114,0,266,21,12,158,1,276
03-05-2020,Recovered,911,47,0,0,7,0,106,0,146,3,1,33,5,22,1,0,174,115,0,0,0,0,4,5,114,0,38,46,0,56,0,-19
03-05-2020,Deceased,140,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,5,27,0,0,0,0,0,1,3,0,1,0,0,0,0,74
04-05-2020,Confirmed,3656,67,0,0,11,1,349,0,376,75,1,25,0,37,0,0,105,1567,0,0,0,0,7,130,175,0,527,3,13,121,0,61
04-05-2020,Recovered,1082,36,0,0,3,0,69,0,153,9,0,16,0,28,61,0,58,350,0,0,0,0,0,11,82,0,30,40,0,48,0,86
04-05-2020,Deceased,103,0,0,0,0,0,0,0,29,1,0,0,0,2,0,0,9,35,0,0,0,0,0,2,6,0,1,0,0,7,0,11
05-05-2020,Confirmed,2971,67,0,2,7,1,206,0,441,31,1,15,10,22,3,0,107,984,0,0,0,0,8,219,97,0,508,11,13,114,1,85
05-05-2020,Recovered,1295,65,0,0,31,0,37,0,186,2,0,17,6,10,0,0,144,354,0,0,1,0,0,5,87,0,76,43,0,185,0,46
05-05-2020,Deceased,128,1,0,0,0,0,0,0,49,0,1,0,0,2,0,0,11,34,0,0,0,0,1,2,12,0,2,0,0,6,0,7
06-05-2020,Confirmed,3602,60,0,1,7,0,428,0,380,46,1,34,2,20,0,0,89,1233,0,0,0,0,28,75,159,0,771,11,22,118,0,112
06-05-2020,Recovered,1161,140,0,2,0,0,74,0,119,4,0,2,4,23,7,0,99,275,0,0,0,0,1,2,214,0,31,20,0,143,0,1
06-05-2020,Deceased,91,2,0,0,0,0,1,0,28,1,0,0,0,0,0,0,9,34,0,0,0,0,0,2,4,0,2,0,0,4,0,4
07-05-2020,Confirmed,3344,56,0,8,8,0,448,0,388,31,3,18,5,12,0,0,114,1216,0,0,0,0,14,118,110,0,580,15,24,73,0,92
07-05-2020,Recovered,1475,51,0,0,60,0,389,0,209,0,0,13,4,12,5,0,132,207,0,0,0,0,1,14,150,0,31,45,0,120,0,31
07-05-2020,Deceased,104,2,0,0,1,0,1,0,29,0,0,1,0,1,0,0,8,43,0,0,0,0,0,1,6,0,2,0,0,2,0,7
08-05-2020,Confirmed,3339,54,0,6,29,0,338,0,390,22,4,30,22,48,1,0,89,1089,0,0,0,0,51,87,152,0,600,10,30,143,2,130
08-05-2020,Recovered,1111,62,0,0,49,2,89,0,163,19,0,29,0,10,10,1,118,169,0,0,0,0,1,3,122,0,58,34,0,137,6,27
08-05-2020,Deceased,97,3,0,1,0,0,2,0,24,1,0,0,0,0,0,0,7,37,0,0,0,0,0,1,4,0,3,0,0,4,0,9
09-05-2020,Confirmed,3175,43,0,2,32,0,224,0,394,28,2,13,2,41,2,0,116,1165,0,1,0,0,82,31,129,0,526,31,17,159,4,108
09-05-2020,Recovered,1414,45,0,0,51,5,0,0,219,11,1,4,37,10,1,0,131,330,0,0,0,0,5,5,151,0,219,24,0,112,1,49
09-05-2020,Deceased,115,3,0,-1,0,0,0,0,23,1,0,0,0,0,0,0,11,48,0,0,0,0,1,2,3,0,4,1,0,8,0,11
